"name","address","group","seed_source","discovered_from","live_eth_mainnet","runtime_bytecode_bytes","explorer_fetch_status","explorer_message","contract_name_api","compiler_version","proxy","implementation","abi_saved","source_mode","source_files_saved","source_verified","source_origin","sourcify_match"
"nonfungiblePositionManager","0x00d5bbd0fe275efee371a2b34d0a4b95b0c8aaaa","algebra_mainnet_docs","docs","","True","23901","1","OK","","","0","","False","","0","False","",""
"superNova","0x00da8466b296e382e5da2bf20962d0cb87200c78","core_mainnet_docs","docs","","True","2663","1","OK","","","0","","False","","0","False","",""
"AlgebraPoolAPI","0x0ee8553a64edf161b3daa6907a4ff45b0a12ea59","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"GaugeManager_implementation","0x120ea99bdc2da6de1b98fbeb84cfaead96a6a9e3","discovered_implementation","routescan_proxy_metadata","0x19a410046afc4203aece5fbfc7a6ac1a4f517ae2","True","22826","1","OK","GaugeManager","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","50","True","routescan",""
"GaugeManager","0x19a410046afc4203aece5fbfc7a6ac1a4f517ae2","core_mainnet_docs","docs","","True","1167","1","OK","TransparentUpgradeableProxy","v0.8.29+commit.ab55807c","1","0x120ea99bdc2da6de1b98fbeb84cfaead96a6a9e3","True","multifile_json_flattened","12","True","routescan",""
"VeArtProxyUpgradeable_implementation","0x19f5f9ba55b676cfbb0fbb91f622020ba4621884","discovered_implementation","routescan_proxy_metadata","0x87e3982313661a08cb1f0bb9de472eb407397551","True","4665","1","OK","","","0","","False","","0","False","",""
"CustomPoolDeployer tick 10","0x1c798614ef4c6a8f8a1aab25785714933e59e963","core_mainnet_docs","docs","","True","1167","1","OK","TransparentUpgradeableProxy","v0.8.29+commit.ab55807c","1","0x2493b36759fb77e40ef863ca59807a9d7689af4a","False","single_file","1","True","routescan",""
"VoterV3","0x1c7bf2532dfa34eeea02c3759e0ca8d87b1d8171","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"AlgebraEternalFarming","0x1e862624eda92b8fe532c16253356d17dd70a337","algebra_mainnet_docs","docs","","True","23680","1","OK","","","0","","False","","0","False","",""
"TokenAPI","0x227534a66e521cfd95abb9e65c48d69ae5810b31","core_mainnet_docs","docs","","True","1167","1","OK","TransparentUpgradeableProxy","v0.8.29+commit.ab55807c","1","0xfc0d0640e5a92fbbc79ee03b4375baab97f4522d","True","multifile_json_flattened","12","True","routescan",""
"CustomPoolDeployer","0x2493b36759fb77e40ef863ca59807a9d7689af4a","core_mainnet_docs","docs","","True","6838","1","OK","CustomPoolDeployer","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","21","True","routescan",""
"BlackholePairAPIV2","0x2b9fc4714589544aa1e0a75596c611a1364963dc","core_mainnet_docs","docs","","True","11130","1","OK","","","0","","False","","0","False","",""
"SuperNovaClaims","0x313fdfcc9f19a90748072baec39d786d34961309","core_mainnet_docs","docs","","True","5069","1","OK","SuperNovaClaims","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","5","True","routescan",""
"FeeDiscountRegistry","0x31eda5529b8f219243e8248eff368bc36a3f5975","algebra_mainnet_docs","docs","","True","2079","1","OK","","","0","","False","","0","False","",""
"PermissionsRegistry","0x344eec31c725187cd026db73ed8805e72967c28d","core_mainnet_docs","docs","","True","7270","1","OK","PermissionsRegistry","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","1","True","routescan",""
"AlgebraPoolAPIStorage","0x3d219d5089331f6bf99cb20b9b199ab3b429337a","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"FarmingCenter","0x428ea5b4ac84ab687851e6a2688411bdbd6c91af","algebra_mainnet_docs","docs","","True","9760","1","OK","","","0","","False","","0","False","",""
"PairGenerator","0x42a7a5baafb1818da3a39ce1b97a58799d69bbb8","core_mainnet_docs","docs","","True","21628","1","OK","","","0","","False","","0","False","",""
"CustomPoolDeployer tick 200","0x42f5ecd6497d42e093de05bec73e33ceb82493da","core_mainnet_docs","docs","","True","1167","1","OK","","","1","0x2493b36759fb77e40ef863ca59807a9d7689af4a","False","","0","False","",""
"CustomPoolDeployer tick 50","0x44acd9579650d300ebbeac2e483b97fdcacdddc0","core_mainnet_docs","docs","","True","1167","1","OK","","","1","0x2493b36759fb77e40ef863ca59807a9d7689af4a","False","","0","False","",""
"factory","0x44b7fbd4d87149efa5347c451e74b9fd18e89c55","algebra_mainnet_docs","docs","","True","10874","1","OK","","","0","","False","","0","False","",""
"SecurityRegistry","0x454e62e725ad5a47931043f7e6369cfbb879bdfd","algebra_mainnet_docs","docs","","True","3370","1","OK","","","0","","False","","0","False","",""
"poolDeployer","0x45bc0f9855a626743d57d37d989f3b9462deba45","algebra_mainnet_docs","docs","","True","24228","1","OK","","","0","","False","","0","False","",""
"PluginV3Deployer","0x48012a780779f12b27f0f7f558cab5511d92eee3","algebra_mainnet_docs","docs","","True","21446","1","OK","","","0","","False","","0","False","",""
"VotingEscrow","0x4c3e7640b3e3a39a2e5d030a0c1412d80fee1d44","core_mainnet_docs","docs","","True","23438","1","OK","VotingEscrow","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","13","True","routescan",""
"tickLens","0x4e6a86199fc06adbf1ff59634c1a806116a7d6c9","algebra_mainnet_docs","docs","","True","3861","1","OK","","","0","","False","","0","False","",""
"PairFactory","0x5aef44edfc5a7edd30826c724ea12d7be15bdc30","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"GaugeFactory","0x66647a19452e98e98a9f479883f241e33016adb0","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"swapRouter","0x72d63a5b080e1b89cc93f9b9f50cbfa5e291c8ac","algebra_mainnet_docs","docs","","True","12561","1","OK","","","0","","False","","0","False","",""
"PairBootStrapper","0x7f8f2b6d0b0aae8e95221ce90b5c26b128c1cb66","core_mainnet_docs","docs","","True","8444","1","OK","PairBootstrapper","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","23","True","routescan",""
"quoterV2","0x8217550d36823b1194b58562dac55d7fe8efb727","algebra_mainnet_docs","docs","","True","9262","1","OK","","","0","","False","","0","False","",""
"VeNFTAPI","0x85dc70913e49e5ebd888ada03034e3be109e5881","core_mainnet_docs","docs","","True","11561","1","OK","","","0","","False","","0","False","",""
"VeArtProxyUpgradeable","0x87e3982313661a08cb1f0bb9de472eb407397551","core_mainnet_docs","docs","","True","1167","1","OK","TransparentUpgradeableProxy","v0.8.29+commit.ab55807c","1","0x19f5f9ba55b676cfbb0fbb91f622020ba4621884","True","multifile_json_flattened","14","True","routescan",""
"GaugeFactoryCL","0x8d38206e38ec86b14530186aa36cc3b1ed8cd674","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"TokenHandler","0xa1154fe44a3d5c740644b9028e4d68fd876de201","core_mainnet_docs","docs","","True","7384","1","OK","TokenHandler","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","5","True","routescan",""
"nftDescriptor","0xabca00f6e3fb9fe4c8adbecc5f2daffe8c851045","algebra_mainnet_docs","docs","","True","22024","1","OK","","","0","","False","","0","False","",""
"vaultFactory","0xafc0497f052a3b5274659308d0b875271c03038d","algebra_mainnet_docs","docs","","True","5872","1","OK","","","0","","False","","0","False","",""
"RewardsDistributor","0xb3410a30af5033af822b8ea5ad3bd0a19490ea97","core_mainnet_docs","docs","","True","6807","1","OK","RewardsDistributor","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","7","True","routescan",""
"entryPoint","0xb86a85acf0e658e4d3ac02c9fac3e122e5831288","algebra_mainnet_docs","docs","","True","3428","1","OK","","","0","","False","","0","False","",""
"VoterFactoryLib","0xbd08f4d76ca903cc922ec14fcfef90d4e1a95278","core_mainnet_docs","docs","","True","2460","1","OK","VoterFactoryLib","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","1","True","routescan",""
"RouterV2","0xbfae8e87053309fde07ab3ca5f4b5345f8e3058f","core_mainnet_docs","docs","","True","22949","1","OK","RouterV2","v0.8.13+commit.abaa5c0e","0","","True","multifile_json_flattened","19","True","routescan",""
"CustomPoolDeployer tick1","0xc815b4e0abae3155f8f4f9e404f17c9fa6928eb8","core_mainnet_docs","docs","","True","1167","1","OK","","","1","0x2493b36759fb77e40ef863ca59807a9d7689af4a","False","","0","False","",""
"AlgebraInterfaceMulticall","0xc9ba2ef71d4c5ca59b426c4c3dae6aeabe041f18","algebra_mainnet_docs","docs","","True","2441","1","OK","","","0","","False","","0","False","",""
"CustomPoolDeployer tick 100","0xd7b7cc843331cbdc857d5e7615d320b8b4ac090e","core_mainnet_docs","docs","","True","1167","1","OK","","","1","0x2493b36759fb77e40ef863ca59807a9d7689af4a","False","","0","False","",""
"RouterHelper","0xd8377aea61c4c4d43bf0588956f4e861720803c6","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"BasePluginV3Factory","0xdbfd67d12cadb8925c1417ff3638693f2bf99b97","algebra_mainnet_docs","docs","","True","8012","1","OK","","","0","","False","","0","False","",""
"BribeFactoryV3","0xeb37f11c573ab01358d5fefb10f5de2b4237344c","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
"VotingBalanceLogic","0xed686a5b0bf0df5c97f8eabd1b776ae399319847","core_mainnet_docs","docs","","True","4249","1","OK","","","0","","False","","0","False","",""
"quoter","0xf9439cd803dcb11fa574bcc8421207f89b529e41","algebra_mainnet_docs","docs","","True","5723","1","OK","","","0","","False","","0","False","",""
"NonfungibleTokenPositionDescriptor","0xf9bc949bab0969ec4e32d725d9ffab226ab6535c","algebra_mainnet_docs","docs","","True","2841","1","OK","","","0","","False","","0","False","",""
"TokenAPI_implementation","0xfc0d0640e5a92fbbc79ee03b4375baab97f4522d","discovered_implementation","routescan_proxy_metadata","0x227534a66e521cfd95abb9e65c48d69ae5810b31","True","3355","1","OK","","","0","","False","","0","False","",""
"MinterUpgradeable","0xfe29ea1348f0990273db5e19ad521e45acda84a2","core_mainnet_docs","docs","","True","1167","1","OK","","","0","","True","multifile_json_flattened","12","True","sourcify","full_match"
